frame,x_0,y_0,v_0,x_1,y_1,v_1,x_2,y_2,v_2,x_3,y_3,v_3,x_4,y_4,v_4,x_5,y_5,v_5,x_6,y_6,v_6,x_7,y_7,v_7,x_8,y_8,v_8,x_9,y_9,v_9,x_10,y_10,v_10,x_11,y_11,v_11,x_12,y_12,v_12,x_13,y_13,v_13,x_14,y_14,v_14,x_15,y_15,v_15,x_16,y_16,v_16,x_17,y_17,v_17,x_18,y_18,v_18,x_19,y_19,v_19,x_20,y_20,v_20,x_21,y_21,v_21,x_22,y_22,v_22,x_23,y_23,v_23,x_24,y_24,v_24,x_25,y_25,v_25,x_26,y_26,v_26,x_27,y_27,v_27,x_28,y_28,v_28,x_29,y_29,v_29,x_30,y_30,v_30,x_31,y_31,v_31,x_32,y_32,v_32
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.7173478603363037,0.2230326384305954,0.9886263012886047,0.7195165753364563,0.22248031198978424,0.9882843494415283,0.7192519307136536,0.22373898327350616,0.9896367192268372,0.7190074920654297,0.22501033544540405,0.9891223311424255,0.7198832035064697,0.2203768789768219,0.9863907098770142,0.7197508811950684,0.22004356980323792,0.9882603883743286,0.7196154594421387,0.21970924735069275,0.9896005988121033,0.7150117754936218,0.23205752670764923,0.9929304122924805,0.7161308526992798,0.22525951266288757,0.9929249286651611,0.7130609750747681,0.23103176057338715,0.990731418132782,0.713111400604248,0.22769661247730255,0.9889523386955261,0.7076953649520874,0.25830593705177307,0.999724805355072,0.7044970989227295,0.2561629116535187,0.9984816908836365,0.7193200588226318,0.27388229966163635,0.6517460942268372,0.7166791558265686,0.2782754898071289,0.23120588064193726,0.6963022351264954,0.2743532061576843,0.24011340737342834,0.7036758065223694,0.28306207060813904,0.31394630670547485,0.6891316175460815,0.2811509668827057,0.2379855513572693,0.7037572860717773,0.28706857562065125,0.41425642371177673,0.6903655529022217,0.2781415581703186,0.2359587401151657,0.7009610533714294,0.28815758228302,0.43161919713020325,0.6929088830947876,0.27460113167762756,0.20011037588119507,0.7004284858703613,0.28624042868614197,0.3907875418663025,0.7340300679206848,0.36168044805526733,0.9999246597290039,0.7295908331871033,0.3603043556213379,0.9997207522392273,0.7319945096969604,0.406671941280365,0.5622376799583435,0.7341653108596802,0.3934778571128845,0.07276651263237,0.7645275592803955,0.4136301577091217,0.7492108345031738,0.757809579372406,0.41612115502357483,0.27534839510917664,0.7728632092475891,0.41305214166641235,0.7676239013671875,0.7642596960067749,0.4155311584472656,0.31717756390571594,0.7607216238975525,0.4260082542896271,0.5790567994117737,0.7567406296730042,0.4339326322078705,0.1894967257976532
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.7175788879394531,0.2313385158777237,0.9891141057014465,0.7190937399864197,0.22937647998332977,0.988875687122345,0.7190496921539307,0.23070648312568665,0.9901500940322876,0.7190361022949219,0.23204375803470612,0.9896371364593506,0.7187647819519043,0.2268684357404709,0.9870628118515015,0.7184546589851379,0.22624969482421875,0.9888113141059875,0.7181383371353149,0.22563539445400238,0.9901323914527893,0.7165189981460571,0.2375449240207672,0.9932960867881775,0.7151228189468384,0.2297656238079071,0.9933410882949829,0.7148273587226868,0.23960556089878082,0.9911481738090515,0.7143257260322571,0.23610156774520874,0.9894789457321167,0.72002774477005,0.26459217071533203,0.999700129032135,0.7025331258773804,0.25844806432724,0.9985318779945374,0.7345408797264099,0.28740230202674866,0.6496450304985046,0.7075164318084717,0.28841960430145264,0.23941515386104584,0.7048220038414001,0.28715580701828003,0.23776376247406006,0.6994777321815491,0.29916298389434814,0.3179762065410614,0.6969176530838013,0.29312849044799805,0.23230652511119843,0.699026882648468,0.3043287992477417,0.41369903087615967,0.6968266367912292,0.2880478501319885,0.23036158084869385,0.6985458731651306,0.3038023114204407,0.431474506855011,0.6992912292480469,0.28516948223114014,0.19592979550361633,0.6986486911773682,0.30243751406669617,0.39227044582366943,0.7480683922767639,0.3617163896560669,0.9999272227287292,0.7378541827201843,0.35906869173049927,0.9997323751449585,0.7303905487060547,0.3901289105415344,0.5884053707122803,0.7312880158424377,0.39010608196258545,0.07831533998250961,0.7687182426452637,0.4091349244117737,0.7542858123779297,0.7610228657722473,0.4136987328529358,0.2795816659927368,0.777622640132904,0.40823104977607727,0.7640295624732971,0.7679038047790527,0.41252389550209045,0.31251442432403564,0.7653875350952148,0.43139058351516724,0.5918516516685486,0.761431097984314,0.435001403093338,0.19818562269210815
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.7150486707687378,0.21544194221496582,0.9901826977729797,0.7181831002235413,0.21172252297401428,0.9899792075157166,0.718791663646698,0.21284659206867218,0.9911249876022339,0.7194181680679321,0.2139585316181183,0.9906632900238037,0.7167361974716187,0.20977947115898132,0.9883435368537903,0.7162181735038757,0.2095242589712143,0.9899169206619263,0.715707004070282,0.20926576852798462,0.991109311580658,0.7199124693870544,0.22027727961540222,0.9939625859260559,0.7132715582847595,0.2124737650156021,0.994001030921936,0.7139508128166199,0.22557011246681213,0.9920258522033691,0.7121503353118896,0.2231307327747345,0.9905228018760681,0.7258519530296326,0.2606828510761261,0.9997273683547974,0.7068327069282532,0.2511312663555145,0.9986710548400879,0.7453355193138123,0.31923940777778625,0.675270676612854,0.7161213755607605,0.31170716881752014,0.23863723874092102,0.7217510938644409,0.3221557140350342,0.30049681663513184,0.7114352583885193,0.3168747127056122,0.337323397397995,0.7116966843605042,0.32379913330078125,0.29006585478782654,0.710604190826416,0.3198603689670563,0.4227473735809326,0.7132171392440796,0.316575825214386,0.28883254528045654,0.7086284160614014,0.3154401183128357,0.43942761421203613,0.7150737047195435,0.3147246539592743,0.2529430687427521,0.709781289100647,0.3138546347618103,0.4037507474422455,0.7518314123153687,0.3584003150463104,0.9999340176582336,0.7411263585090637,0.3484884798526764,0.999758243560791,0.7272050976753235,0.3977508842945099,0.6273012757301331,0.7180210947990417,0.36528560519218445,0.10511582344770432,0.7693287134170532,0.40199950337409973,0.7681698203086853,0.7576104998588562,0.39724528789520264,0.3039628267288208,0.7764663100242615,0.39502647519111633,0.7754254937171936,0.764894962310791,0.39595943689346313,0.3332482576370239,0.7764240503311157,0.4273964762687683,0.6241632103919983,0.762158215045929,0.42693620920181274,0.23892076313495636
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.7142492532730103,0.2252410501241684,0.991131603717804,0.7181989550590515,0.21819369494915009,0.9909584522247314,0.7195886373519897,0.21827176213264465,0.9919876456260681,0.7209904193878174,0.21835710108280182,0.9915745258331299,0.7155041098594666,0.2182016521692276,0.989475429058075,0.7147995829582214,0.2183959186077118,0.9908865690231323,0.714088499546051,0.21858984231948853,0.991969108581543,0.721967339515686,0.22239600121974945,0.9945492148399353,0.7126321792602539,0.2254742980003357,0.9945546388626099,0.7159625887870789,0.23396934568881989,0.9927983283996582,0.7125627994537354,0.23429761826992035,0.9914255142211914,0.7395766973495483,0.25821059942245483,0.9997180104255676,0.7045319080352783,0.2679325342178345,0.9985821843147278,0.759472131729126,0.3065875172615051,0.7028928995132446,0.7112447023391724,0.3234976828098297,0.23098886013031006,0.7278003096580505,0.31011971831321716,0.3489561080932617,0.7139738202095032,0.3216630816459656,0.31651127338409424,0.7199835777282715,0.3146602511405945,0.3261076509952545,0.7149333953857422,0.3227630853652954,0.3936414122581482,0.7171202301979065,0.3046491742134094,0.3247675895690918,0.7100062966346741,0.3175308108329773,0.40952324867248535,0.7195032835006714,0.30383700132369995,0.2850211560726166,0.7145959734916687,0.3163849413394928,0.3774039149284363,0.7586513161659241,0.3696579933166504,0.9999279975891113,0.7355797290802002,0.377873957157135,0.9997736215591431,0.7533892393112183,0.40444985032081604,0.6607891917228699,0.71245938539505,0.42014554142951965,0.17646799981594086,0.7640810608863831,0.41695636510849,0.7431875467300415,0.7557773590087891,0.43049728870391846,0.3270977735519409,0.7663682699203491,0.4108975827693939,0.753842294216156,0.762293815612793,0.42790892720222473,0.35330602526664734,0.7645934224128723,0.44721710681915283,0.6162295341491699,0.7612976431846619,0.4553718864917755,0.2743006944656372
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
